"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","32","","ApiTests","Get","MyUnitTests","GetUsers_Test","GetUsers_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","13","","ApiTests","Post","MyUnitTests","PostAlreadyUsedZipCodes_Test","PostAlreadyUsedZipCodes_Test",""
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","18","","ApiTests","Delete","MyUnitTests","DeleteUserWithRequiredFields_UserIsDeleted_Test","DeleteUserWithRequiredFields_UserIsDeleted_Test",""
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","14","","ApiTests","Post","MyUnitTests","PostRequiredFieldsCreateUser_Test","PostRequiredFieldsCreateUser_Test",""
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","14","","ApiTests","Post","MyUnitTests","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test",""
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","38","","ApiTests","Get","MyUnitTests","GetUsersBySex_Test","GetUsersBySex_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","16","","ApiTests","Post","MyUnitTests","PostDuplicateCreateUser_UserIsNotCreated_Test","PostDuplicateCreateUser_UserIsNotCreated_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","2","","ApiTests","Post","MyUnitTests","UploadUsers_Test","UploadUsers_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","96","","ApiTests","Delete","MyUnitTests","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","11","","ApiTests","Post","MyUnitTests","PostDuplicateZipCodes_Test","PostDuplicateZipCodes_Test",""
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","7","","ApiTests","Get","MyUnitTests","GetUsersByYoungerAge_Test","GetUsersByYoungerAge_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","11","","ApiTests","Get","MyUnitTests","GetZipCodes_Test","GetZipCodes_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","8","","ApiTests","Put","MyUnitTests","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test",""
"passed","Sun Apr 28 09:39:22 GMT 2024","Sun Apr 28 09:39:22 GMT 2024","519","","ApiTests","Delete","MyUnitTests","DeleteUser_Test","DeleteUser_Test",""
"passed","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","10","","ApiTests","Get","MyUnitTests","GetUsersByOlderAge_Test","GetUsersByOlderAge_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","15","","ApiTests","Put","MyUnitTests","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","2","","ApiTests","Post","MyUnitTests","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","30","","ApiTests","Post","MyUnitTests","PostZipCodes_Test","PostZipCodes_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","7","","ApiTests","Put","MyUnitTests","UpdateUser_Test","UpdateUser_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","28","","ApiTests","Post","MyUnitTests","PostCreateUser_Test","PostCreateUser_Test",""
"broken","Sun Apr 28 09:39:23 GMT 2024","Sun Apr 28 09:39:23 GMT 2024","1","","ApiTests","Post","MyUnitTests","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest",""
