"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","93","","ApiTests","Delete","MyUnitTests","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","43","","ApiTests","Get","MyUnitTests","GetUsersByOlderAge_Test","GetUsersByOlderAge_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","6","","ApiTests","Post","MyUnitTests","UploadUsers_Test","UploadUsers_Test",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","53","","ApiTests","Get","MyUnitTests","GetUsers_Test","GetUsers_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","10","","ApiTests","Post","MyUnitTests","PostZipCodes_Test","PostZipCodes_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","32","","ApiTests","Post","MyUnitTests","PostDuplicateCreateUser_UserIsNotCreated_Test","PostDuplicateCreateUser_UserIsNotCreated_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","6","","ApiTests","Post","MyUnitTests","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","22","","ApiTests","Post","MyUnitTests","PostRequiredFieldsCreateUser_Test","PostRequiredFieldsCreateUser_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","12","","ApiTests","Put","MyUnitTests","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","10","","ApiTests","Post","MyUnitTests","PostCreateUser_Test","PostCreateUser_Test",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","23","","ApiTests","Delete","MyUnitTests","DeleteUserWithRequiredFields_UserIsDeleted_Test","DeleteUserWithRequiredFields_UserIsDeleted_Test",""
"passed","Sun May 12 17:02:33 GMT 2024","Sun May 12 17:02:34 GMT 2024","465","","ApiTests","Delete","MyUnitTests","DeleteUser_Test","DeleteUser_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","70","","ApiTests","Get","MyUnitTests","GetUsersBySex_Test","GetUsersBySex_Test",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","30","","ApiTests","Get","MyUnitTests","GetUsersByYoungerAge_Test","GetUsersByYoungerAge_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","18","","ApiTests","Get","MyUnitTests","GetZipCodes_Test","GetZipCodes_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","17","","ApiTests","Put","MyUnitTests","UpdateUser_Test","UpdateUser_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","10","","ApiTests","Post","MyUnitTests","PostDuplicateZipCodes_Test","PostDuplicateZipCodes_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","6","","ApiTests","Post","MyUnitTests","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","16","","ApiTests","Put","MyUnitTests","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test",""
"passed","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","24","","ApiTests","Post","MyUnitTests","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test",""
"broken","Sun May 12 17:02:34 GMT 2024","Sun May 12 17:02:34 GMT 2024","13","","ApiTests","Post","MyUnitTests","PostAlreadyUsedZipCodes_Test","PostAlreadyUsedZipCodes_Test",""
