"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","22","","ApiTests","Get","MyUnitTests","GetUsers_Test","GetUsers_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","1","","ApiTests","Post","MyUnitTests","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","41","","ApiTests","Post","MyUnitTests","PostCreateUser_Test","PostCreateUser_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","9","","ApiTests","Post","MyUnitTests","PostDuplicateCreateUser_UserIsNotCreated_Test","PostDuplicateCreateUser_UserIsNotCreated_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","7","","ApiTests","Post","MyUnitTests","PostDuplicateZipCodes_Test","PostDuplicateZipCodes_Test",""
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","15","","ApiTests","Delete","MyUnitTests","DeleteUserWithRequiredFields_UserIsDeleted_Test","DeleteUserWithRequiredFields_UserIsDeleted_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","2","","ApiTests","Post","MyUnitTests","UploadUsers_Test","UploadUsers_Test",""
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","28","","ApiTests","Get","MyUnitTests","GetUsersBySex_Test","GetUsersBySex_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","9","","ApiTests","Get","MyUnitTests","GetZipCodes_Test","GetZipCodes_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","72","","ApiTests","Delete","MyUnitTests","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test",""
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","6","","ApiTests","Get","MyUnitTests","GetUsersByOlderAge_Test","GetUsersByOlderAge_Test",""
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","19","","ApiTests","Post","MyUnitTests","PostRequiredFieldsCreateUser_Test","PostRequiredFieldsCreateUser_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","14","","ApiTests","Put","MyUnitTests","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test",""
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","5","","ApiTests","Get","MyUnitTests","GetUsersByYoungerAge_Test","GetUsersByYoungerAge_Test",""
"passed","Sun Apr 28 09:42:39 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","428","","ApiTests","Delete","MyUnitTests","DeleteUser_Test","DeleteUser_Test",""
"passed","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","12","","ApiTests","Post","MyUnitTests","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","1","","ApiTests","Post","MyUnitTests","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","24","","ApiTests","Post","MyUnitTests","PostZipCodes_Test","PostZipCodes_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","19","","ApiTests","Put","MyUnitTests","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","8","","ApiTests","Post","MyUnitTests","PostAlreadyUsedZipCodes_Test","PostAlreadyUsedZipCodes_Test",""
"broken","Sun Apr 28 09:42:40 GMT 2024","Sun Apr 28 09:42:40 GMT 2024","6","","ApiTests","Put","MyUnitTests","UpdateUser_Test","UpdateUser_Test",""
